LTR390-Lux,VEML7700-Lux,VEML7700-White,SI1145-ALS,SI1145-IR
782.20,648.46,1309.65,394,1297
782.20,648.63,1309.42,390,1289
781.80,648.81,1308.73,385,1288
778.60,647.71,1303.55,382,1215
761.60,647.37,1296.23,266,368
744.80,639.71,1271.64,266,351
789.60,650.94,1308.61,396,1305
789.80,655.43,1328.03,400,1303
790.00,655.20,1328.66,377,1308
787.40,655.37,1328.54,389,1295
746.00,620.12,1222.04,386,1258
1150.00,561.72,1205.05,572,2178
2815.60,1073.03,1834.91,535,2068
2705.20,1398.24,1964.16,549,2061
2703.80,1397.78,1964.39,548,2054
2705.20,1397.49,1964.04,549,2066
2704.60,1397.32,1964.51,544,2063
2702.60,1397.55,1963.76,548,2066
2704.20,1397.26,1963.81,551,2069
2705.20,1397.38,1964.16,556,2067
2714.80,1407.97,1972.45,549,2065
2807.20,1418.98,1978.50,539,2041
2796.20,1457.91,2029.25,548,2044
2810.80,1453.36,2020.44,538,2037
2417.20,1496.56,2230.10,608,2485
193.60,722.88,1452.90,318,952
248.80,139.68,541.04,807,2132
1193.40,146.53,471.23,1139,3048
2196.60,676.11,1264.95,1462,4451
2042.20,1373.18,2344.20,984,2902
2036.40,1401.18,2414.07,1263,3799
2045.20,1416.10,2439.13,1113,3408
2044.20,1416.04,2437.69,1257,3831
2046.20,1417.13,2438.73,1101,3334
2033.60,1416.84,2438.67,1399,4399
2037.80,1417.31,2439.76,1033,3048
2038.60,1418.69,2443.45,1374,4251
2044.80,1422.14,2448.86,1133,3497
2049.80,1424.79,2452.55,1169,3653
2024.60,1417.42,2443.39,1267,3961
2022.60,1414.77,2439.53,1201,3736
2027.60,1414.60,2438.50,1246,3929
