LTR390-UVI,VEML6070-UVI,SI1145-UVI
2.07,1.39,0.40
2.06,1.39,0.32
2.09,1.41,0.41
2.09,1.40,0.36
2.09,1.41,0.33
2.09,1.41,0.42
2.09,1.41,0.34
2.09,1.41,0.35
2.09,1.41,0.41
2.09,1.42,0.02
0.00,0.00,0.02
0.00,0.00,0.02
0.00,0.00,0.02
0.29,0.95,0.39
2.07,1.38,0.34
2.07,1.39,0.37
1.77,1.45,0.39
1.63,1.37,0.32
1.61,1.37,0.39
1.56,1.34,0.35
1.54,1.32,0.42
1.53,1.31,0.34
0.72,0.94,0.34
0.00,0.01,0.04
0.02,0.06,0.13
0.00,0.05,0.12
0.02,0.05,0.11
0.02,0.05,0.11
0.02,0.05,0.11
0.02,0.05,0.12
0.02,0.05,0.11
0.02,0.05,0.11
