Mode,Raw,Lux,Gain,Resolution,Sample
ALS,16952,2542.80,x1,20-bit,0
ALS,16970,2545.50,x1,20-bit,1
ALS,16966,2544.90,x1,20-bit,2
ALS,16863,2529.45,x1,20-bit,3
ALS,16918,2537.70,x1,20-bit,4
ALS,16964,2544.60,x1,20-bit,5
ALS,17008,2551.20,x1,20-bit,6
ALS,16958,2543.70,x1,20-bit,7
ALS,16947,2542.05,x1,20-bit,8
ALS,16873,2530.95,x1,20-bit,9
ALS,8432,2529.60,x1,19-bit,0
ALS,8480,2544.00,x1,19-bit,1
ALS,8493,2547.90,x1,19-bit,2
ALS,8494,2548.20,x1,19-bit,3
ALS,8489,2546.70,x1,19-bit,4
ALS,8493,2547.90,x1,19-bit,5
ALS,8481,2544.30,x1,19-bit,6
ALS,8468,2540.40,x1,19-bit,7
ALS,8484,2545.20,x1,19-bit,8
ALS,8488,2546.40,x1,19-bit,9
ALS,4243,2545.80,x1,18-bit,0
ALS,4245,2547.00,x1,18-bit,1
ALS,4244,2546.40,x1,18-bit,2
ALS,4245,2547.00,x1,18-bit,3
ALS,4256,2553.60,x1,18-bit,4
ALS,4262,2557.20,x1,18-bit,5
ALS,4236,2541.60,x1,18-bit,6
ALS,4222,2533.20,x1,18-bit,7
ALS,4235,2541.00,x1,18-bit,8
ALS,4239,2543.40,x1,18-bit,9
ALS,2117,2540.40,x1,17-bit,0
ALS,2117,2540.40,x1,17-bit,1
ALS,2112,2534.40,x1,17-bit,2
ALS,2124,2548.80,x1,17-bit,3
ALS,2132,2558.40,x1,17-bit,4
ALS,2133,2559.60,x1,17-bit,5
ALS,2125,2550.00,x1,17-bit,6
ALS,2132,2558.40,x1,17-bit,7
ALS,2127,2552.40,x1,17-bit,8
ALS,2127,2552.40,x1,17-bit,9
ALS,1077,2584.80,x1,16-bit,0
ALS,1055,2532.00,x1,16-bit,1
ALS,1073,2575.20,x1,16-bit,2
ALS,1056,2534.40,x1,16-bit,3
ALS,1066,2558.40,x1,16-bit,4
ALS,1064,2553.60,x1,16-bit,5
ALS,1061,2546.40,x1,16-bit,6
ALS,1068,2563.20,x1,16-bit,7
ALS,1054,2529.60,x1,16-bit,8
ALS,1074,2577.60,x1,16-bit,9
ALS,152,2918.40,x1,13-bit,0
ALS,112,2150.40,x1,13-bit,1
ALS,150,2880.00,x1,13-bit,2
ALS,113,2169.60,x1,13-bit,3
ALS,147,2822.40,x1,13-bit,4
ALS,117,2246.40,x1,13-bit,5
ALS,145,2784.00,x1,13-bit,6
ALS,121,2323.20,x1,13-bit,7
ALS,141,2707.20,x1,13-bit,8
ALS,126,2419.20,x1,13-bit,9
ALS,51036,2551.80,x3,20-bit,0
ALS,51037,2551.85,x3,20-bit,1
ALS,51101,2555.05,x3,20-bit,2
ALS,50790,2539.50,x3,20-bit,3
ALS,50988,2549.40,x3,20-bit,4
ALS,51209,2560.45,x3,20-bit,5
ALS,51064,2553.20,x3,20-bit,6
ALS,51072,2553.60,x3,20-bit,7
ALS,51127,2556.35,x3,20-bit,8
ALS,50742,2537.10,x3,20-bit,9
ALS,25333,2533.30,x3,19-bit,0
ALS,25385,2538.50,x3,19-bit,1
ALS,25533,2553.30,x3,19-bit,2
ALS,25567,2556.70,x3,19-bit,3
ALS,25681,2568.10,x3,19-bit,4
ALS,25749,2574.90,x3,19-bit,5
ALS,25688,2568.80,x3,19-bit,6
ALS,25695,2569.50,x3,19-bit,7
ALS,25699,2569.90,x3,19-bit,8
ALS,25680,2568.00,x3,19-bit,9
ALS,12836,2567.20,x3,18-bit,0
ALS,12841,2568.20,x3,18-bit,1
ALS,12848,2569.60,x3,18-bit,2
ALS,12806,2561.20,x3,18-bit,3
ALS,12809,2561.80,x3,18-bit,4
ALS,12751,2550.20,x3,18-bit,5
ALS,12745,2549.00,x3,18-bit,6
ALS,12730,2546.00,x3,18-bit,7
ALS,12700,2540.00,x3,18-bit,8
ALS,12730,2546.00,x3,18-bit,9
ALS,6352,2540.80,x3,17-bit,0
ALS,6343,2537.20,x3,17-bit,1
ALS,6355,2542.00,x3,17-bit,2
ALS,6320,2528.00,x3,17-bit,3
ALS,6333,2533.20,x3,17-bit,4
ALS,6372,2548.80,x3,17-bit,5
ALS,6386,2554.40,x3,17-bit,6
ALS,6395,2558.00,x3,17-bit,7
ALS,6392,2556.80,x3,17-bit,8
ALS,6395,2558.00,x3,17-bit,9
