Mode,Raw,UVI,Gain,Resolution,Sample
UVS,194,2.49,x1,20-bit,0
UVS,194,2.49,x1,20-bit,1
UVS,194,2.49,x1,20-bit,2
UVS,195,2.51,x1,20-bit,3
UVS,194,2.49,x1,20-bit,4
UVS,194,2.49,x1,20-bit,5
UVS,195,2.51,x1,20-bit,6
UVS,195,2.51,x1,20-bit,7
UVS,195,2.51,x1,20-bit,8
UVS,194,2.49,x1,20-bit,9
UVS,97,2.49,x1,19-bit,0
UVS,97,2.49,x1,19-bit,1
UVS,97,2.49,x1,19-bit,2
UVS,97,2.49,x1,19-bit,3
UVS,97,2.49,x1,19-bit,4
UVS,97,2.49,x1,19-bit,5
UVS,97,2.49,x1,19-bit,6
UVS,97,2.49,x1,19-bit,7
UVS,97,2.49,x1,19-bit,8
UVS,97,2.49,x1,19-bit,9
UVS,48,2.47,x1,18-bit,0
UVS,48,2.47,x1,18-bit,1
UVS,48,2.47,x1,18-bit,2
UVS,48,2.47,x1,18-bit,3
UVS,48,2.47,x1,18-bit,4
UVS,48,2.47,x1,18-bit,5
UVS,48,2.47,x1,18-bit,6
UVS,48,2.47,x1,18-bit,7
UVS,48,2.47,x1,18-bit,8
UVS,48,2.47,x1,18-bit,9
UVS,24,2.47,x1,17-bit,0
UVS,24,2.47,x1,17-bit,1
UVS,24,2.47,x1,17-bit,2
UVS,24,2.47,x1,17-bit,3
UVS,24,2.47,x1,17-bit,4
UVS,24,2.47,x1,17-bit,5
UVS,24,2.47,x1,17-bit,6
UVS,24,2.47,x1,17-bit,7
UVS,24,2.47,x1,17-bit,8
UVS,24,2.47,x1,17-bit,9
UVS,11,2.26,x1,16-bit,0
UVS,12,2.47,x1,16-bit,1
UVS,12,2.47,x1,16-bit,2
UVS,12,2.47,x1,16-bit,3
UVS,12,2.47,x1,16-bit,4
UVS,12,2.47,x1,16-bit,5
UVS,11,2.26,x1,16-bit,6
UVS,12,2.47,x1,16-bit,7
UVS,11,2.26,x1,16-bit,8
UVS,12,2.47,x1,16-bit,9
UVS,1,1.65,x1,13-bit,0
UVS,1,1.65,x1,13-bit,1
UVS,1,1.65,x1,13-bit,2
